ts_code,trade_date,close,open,high,low,pre_close,change,pct_chg,vol,amount
000001.SH,20190805,2821.4957,2854.578,2863.6891,2821.4957,2867.8376,-46.3419,-1.6159,167419423.0,196891483.1
000001.SH,20190802,2867.8376,2861.3323,2872.473,2851.4402,2908.766,-40.9284,-1.4071,184888443.0,216327400.6
000001.SH,20190801,2908.766,2920.8506,2927.3421,2901.7503,2932.5058,-23.7398,-0.8095,142389813.0,171115635.7
000001.SH,20190731,2932.5058,2944.3977,2944.3977,2926.4853,2952.3383,-19.8325,-0.6718,141052348.0,164607873.5
000001.SH,20190730,2952.3383,2946.2566,2965.632,2946.2566,2941.007,11.3313,0.3853,148316462.0,170866349.9
000001.SH,20190729,2941.007,2943.918,2948.4665,2932.9773,2944.541,-3.534,-0.12,127991846.0,147439134.5
000001.SH,20190726,2944.541,2928.0614,2948.3261,2924.4513,2937.3601,7.1809,0.2445,139343388.0,158774666.1
000001.SH,20190725,2937.3601,2923.1886,2937.3601,2916.1498,2923.2775,14.0826,0.4817,145684385.0,175356381.7
000001.SH,20190724,2923.2775,2907.9275,2936.4522,2907.7865,2899.9446,23.3329,0.8046,155245762.0,178858104.0
000001.SH,20190723,2899.9446,2886.9044,2901.3591,2883.0457,2886.974,12.9706,0.4493,129310508.0,148077349.3
000001.SH,20190722,2886.974,2925.7882,2927.1601,2879.69,2924.2006,-37.2266,-1.2731,180674960.0,204289434.2
000001.SH,20190719,2924.2006,2909.6794,2939.5973,2909.6794,2901.1766,23.024,0.7936,149469553.0,149071212.0
000001.SH,20190718,2901.1766,2921.7387,2921.7387,2901.1766,2931.6926,-30.516,-1.0409,149888828.0,149088843.1
000001.SH,20190717,2931.6926,2933.0227,2942.0668,2924.4594,2937.6168,-5.9242,-0.2017,149631616.0,152162962.6
000001.SH,20190716,2937.6168,2938.6411,2944.821,2931.2926,2942.1853,-4.5685,-0.1553,131811751.0,140766389.0
000001.SH,20190715,2942.1853,2921.546,2955.0003,2886.6993,2930.5462,11.6391,0.3972,167643397.0,176533201.2
000001.SH,20190712,2930.5462,2915.3401,2938.5311,2905.809,2917.7609,12.7853,0.4382,137794759.0,142918869.6
000001.SH,20190711,2917.7609,2928.0553,2945.8023,2907.8852,2915.3022,2.4587,0.0843,143692522.0,152181408.0
000001.SH,20190710,2915.3022,2935.1855,2936.7519,2908.162,2928.2295,-12.9273,-0.4415,135483538.0,141236258.6
